country,cell_id,radio,lon,lat,year,net,mcc,population
Spain,1,GSM,-3.199,43.367,2020,1,214,332.4192108
Spain,2,GSM,-3.198,43.204,2020,4,214,98.93801445
Spain,3,GSM,-3.198,43.356,2020,3,214,335.73509037
Spain,4,GSM,-3.198,43.356,2020,7,214,335.73509037
Spain,5,GSM,-3.198,43.358,2020,3,214,371.330431
Spain,6,GSM,-3.198,43.359,2020,1,214,378.2576402
Spain,7,GSM,-3.198,43.36,2020,3,214,377.304718
Spain,8,GSM,-3.197,43.378,2020,3,214,33.6878265
Spain,9,GSM,-3.196,43.354,2020,7,214,270.06682463
Spain,10,GSM,-3.196,43.36,2020,3,214,416.34712166
Spain,11,GSM,-3.188,43.354,2020,7,214,97.13739876
Spain,12,GSM,-3.186,43.223,2020,3,214,8.774228842
Spain,13,GSM,-3.185,43.353,2020,1,214,105.32612184
Spain,14,GSM,-3.185,43.357,2020,3,214,142.06530329
Spain,15,GSM,-3.183,43.358,2020,7,214,173.07938096
Spain,16,GSM,-3.181,43.375,2020,1,214,0.0
Spain,17,GSM,-3.179,43.357,2020,7,214,309.96148854
Spain,18,GSM,-3.178,43.202,2020,7,214,66.50542238999999
Spain,19,GSM,-3.178,43.207,2020,1,214,43.914236798
Spain,20,GSM,-3.178,43.222,2020,3,214,17.827806072
Spain,21,GSM,-3.178,43.355,2020,3,214,362.73350968
Spain,22,GSM,-3.178,43.357,2020,7,214,356.48519334
Spain,23,GSM,-3.177,43.209,2020,3,214,30.704044654
Spain,24,GSM,-3.177,43.354,2020,1,214,399.50302201
Spain,25,GSM,-3.175,43.209,2020,7,214,35.875077399
Spain,26,GSM,-3.174,43.354,2020,3,214,510.40351229
Spain,27,GSM,-3.172,43.352,2020,7,214,418.8144804
Spain,28,GSM,-3.171,43.352,2020,1,214,390.3297985
Spain,29,GSM,-3.171,43.352,2020,7,214,390.3297985
Spain,31,GSM,-3.169,43.206,2020,4,214,55.63101841
Spain,32,GSM,-3.169,43.353,2020,1,214,341.80789105
Spain,33,GSM,-3.168,43.23,2020,1,214,29.907759829
Spain,35,GSM,-3.165,43.348,2020,3,214,128.7699005
Spain,36,GSM,-3.165,43.349,2020,3,214,137.27025603
Spain,37,GSM,-3.164,43.348,2020,3,214,114.21151355
Spain,38,GSM,-3.161,43.347,2020,1,214,87.92477763
Spain,39,GSM,-3.161,43.349,2020,1,214,84.86717712
Spain,40,GSM,-3.158,43.275,2020,1,214,365.6571399
Spain,41,GSM,-3.157,43.344,2020,3,214,148.92332706
Spain,42,GSM,-3.156,43.255,2020,3,214,99.85724108
Spain,43,GSM,-3.155,43.205,2020,1,214,54.510623
Spain,44,GSM,-3.155,43.255,2020,1,214,102.96225425
Spain,45,GSM,-3.154,43.246,2020,1,214,65.03210626
Spain,46,GSM,-3.154,43.342,2020,1,214,186.52305703
Spain,47,GSM,-3.152,43.265,2020,3,214,327.0175262
Spain,48,GSM,-3.152,43.345,2020,7,214,161.49006245
Spain,49,GSM,-3.151,43.271,2020,3,214,246.07076065
Spain,50,GSM,-3.151,43.342,2020,1,214,183.58376069
Spain,51,GSM,-3.15,43.344,2020,3,214,160.43326794
Spain,52,GSM,-3.15,43.347,2020,7,214,116.98781673
Spain,53,GSM,-3.149,43.343,2020,7,214,163.62137899
Spain,54,GSM,-3.148,43.274,2020,1,214,121.93586626
Spain,55,GSM,-3.148,43.274,2020,3,214,121.93586626
Spain,56,GSM,-3.148,43.341,2020,3,214,149.96116271
Spain,57,GSM,-3.147,43.343,2020,7,214,157.8549395
Spain,58,GSM,-3.146,43.343,2020,3,214,152.14246698
Spain,59,GSM,-3.145,43.338,2020,3,214,111.42412203
Spain,61,GSM,-3.143,43.351,2020,3,214,39.54270096
Spain,62,GSM,-3.141,43.343,2020,1,214,98.9603409
Spain,63,GSM,-3.14,43.283,2020,3,214,24.666513731
Spain,64,GSM,-3.139,43.351,2020,7,214,30.10163442
Spain,65,GSM,-3.138,43.205,2020,7,214,385.8521078
Spain,66,GSM,-3.138,43.34,2020,7,214,69.38302601
Spain,67,GSM,-3.138,43.348,2020,4,214,50.56742062
Spain,68,GSM,-3.136,43.203,2020,1,214,364.2805919
Spain,69,GSM,-3.136,43.203,2020,3,214,364.2805919
Spain,70,GSM,-3.136,43.206,2020,7,214,546.3539927
Spain,71,GSM,-3.136,43.279,2020,7,214,30.848881799
Spain,72,GSM,-3.135,43.214,2020,3,214,1114.7123218
Spain,73,GSM,-3.135,43.286,2020,1,214,14.774040384000001
Spain,74,GSM,-3.134,43.203,2020,3,214,457.4789498
Spain,75,GSM,-3.134,43.214,2020,1,214,1208.8051625
Spain,76,GSM,-3.133,43.207,2020,1,214,833.9422925
Spain,77,GSM,-3.132,43.291,2020,3,214,9.997641039
Spain,78,GSM,-3.131,43.204,2020,4,214,642.4606537
Spain,79,GSM,-3.131,43.206,2020,3,214,825.3336172
Spain,80,GSM,-3.131,43.341,2020,3,214,69.61473415
Spain,81,GSM,-3.13,43.206,2020,1,214,810.4086499
Spain,82,GSM,-3.129,43.207,2020,3,214,972.0638323000001
Spain,83,GSM,-3.129,43.342,2020,7,214,94.41341226
Spain,84,GSM,-3.128,43.32,2020,3,214,603.23523424
Spain,85,GSM,-3.128,43.342,2020,7,214,107.09620667
Spain,86,GSM,-3.126,43.265,2020,7,214,21.647828653
Spain,87,GSM,-3.126,43.32,2020,3,214,644.9246377
Spain,88,GSM,-3.124,43.204,2020,1,214,532.3089822
Spain,89,GSM,-3.124,43.302,2020,1,214,26.841144155
Spain,90,GSM,-3.124,43.324,2020,1,214,706.0453412
Spain,91,GSM,-3.124,43.337,2020,7,214,99.4348345
Spain,92,GSM,-3.124,43.341,2020,7,214,128.47794528
Spain,93,GSM,-3.124,43.346,2020,4,214,100.23511865
Spain,94,GSM,-3.123,43.305,2020,3,214,31.33647467
Spain,95,GSM,-3.123,43.341,2020,1,214,131.47428314
Spain,96,GSM,-3.123,43.391,2020,7,214,0.0
Spain,97,GSM,-3.121,43.338,2020,1,214,131.43153447
Spain,98,GSM,-3.12,43.32,2020,3,214,783.8978648
Spain,99,GSM,-3.12,43.339,2020,3,214,141.83934425
Spain,100,GSM,-3.12,43.342,2020,1,214,138.43746521
Spain,101,GSM,-3.12,43.343,2020,3,214,129.96408937
Spain,102,GSM,-3.119,43.337,2020,3,214,150.03089338
Spain,103,GSM,-3.118,43.208,2020,3,214,1094.5442089
Spain,104,GSM,-3.118,43.209,2020,1,214,1124.9891214
Spain,105,GSM,-3.117,43.325,2020,1,214,1442.198591
Spain,106,GSM,-3.117,43.34,2020,7,214,190.3562823
Spain,107,GSM,-3.117,43.39,2020,1,214,0.0
Spain,108,GSM,-3.116,43.212,2020,4,214,988.3564257099999
Spain,109,GSM,-3.116,43.343,2020,1,214,198.6289379
