msisdn	gender	age
subscriber_1	FEMALE	43
subscriber_2	FEMALE	12
subscriber_3	FEMALE	54
subscriber_4	FEMALE	53
subscriber_5	FEMALE	57
subscriber_6	MALE	9
subscriber_7	MALE	95
subscriber_8	FEMALE	81
subscriber_9	FEMALE	48
subscriber_10	MALE	95
subscriber_11	MALE	38
subscriber_12	MALE	90
subscriber_13	MALE	93
subscriber_14	MALE	21
subscriber_15	FEMALE	94
subscriber_16	MALE	50
subscriber_17	MALE	80
subscriber_18	MALE	71
subscriber_19	MALE	21
subscriber_20	MALE	41
subscriber_21	FEMALE	42
subscriber_22	FEMALE	11
subscriber_23	FEMALE	34
subscriber_24	MALE	72
subscriber_25	MALE	32
subscriber_26	FEMALE	52
subscriber_27	FEMALE	42
subscriber_28	MALE	25
subscriber_29	MALE	26
subscriber_30	MALE	75
subscriber_31	MALE	17
subscriber_32	MALE	16
subscriber_33	MALE	35
subscriber_34	MALE	23
subscriber_35	FEMALE	82
subscriber_36	FEMALE	34
subscriber_37	MALE	90
subscriber_38	MALE	21
subscriber_39	MALE	76
subscriber_40	FEMALE	44
subscriber_41	FEMALE	81
subscriber_42	MALE	35
subscriber_43	MALE	12
subscriber_44	FEMALE	83
subscriber_45	FEMALE	82
subscriber_46	MALE	23
subscriber_47	FEMALE	94
subscriber_48	MALE	46
subscriber_49	FEMALE	66
subscriber_50	FEMALE	60
subscriber_51	FEMALE	98
subscriber_52	FEMALE	40
subscriber_53	FEMALE	95
subscriber_54	MALE	67
subscriber_55	MALE	19
subscriber_56	FEMALE	79
subscriber_57	MALE	32
subscriber_58	FEMALE	11
subscriber_59	MALE	75
subscriber_60	MALE	56
subscriber_61	FEMALE	27
subscriber_62	MALE	91
subscriber_63	MALE	16
subscriber_64	FEMALE	11
subscriber_65	MALE	67
subscriber_66	MALE	23
subscriber_67	FEMALE	60
subscriber_68	MALE	78
subscriber_69	MALE	47
subscriber_70	MALE	98
subscriber_71	FEMALE	99
subscriber_72	FEMALE	93
subscriber_73	MALE	53
subscriber_74	FEMALE	93
subscriber_75	FEMALE	37
subscriber_76	FEMALE	85
subscriber_77	MALE	30
subscriber_78	FEMALE	90
subscriber_79	FEMALE	21
subscriber_80	MALE	10
subscriber_81	MALE	70
subscriber_82	FEMALE	54
subscriber_83	FEMALE	16
subscriber_84	FEMALE	57
subscriber_85	MALE	63
subscriber_86	FEMALE	84
subscriber_87	MALE	28
subscriber_88	MALE	36
subscriber_89	FEMALE	33
subscriber_90	MALE	18
subscriber_91	FEMALE	64
subscriber_92	MALE	11
subscriber_93	MALE	85
subscriber_94	MALE	9
subscriber_95	MALE	47
subscriber_96	FEMALE	51
subscriber_97	MALE	88
subscriber_98	FEMALE	69
subscriber_99	MALE	60
subscriber_100	MALE	73
