msisdn,gender,age
subscribers_00000,FEMALE,25
subscribers_00001,FEMALE,18
subscribers_00002,FEMALE,45
subscribers_00003,MALE,49
subscribers_00004,FEMALE,79
subscribers_00005,MALE,55
subscribers_00006,MALE,76
subscribers_00007,FEMALE,75
subscribers_00008,MALE,44
subscribers_00009,MALE,59
subscribers_00010,FEMALE,21
subscribers_00011,FEMALE,20
subscribers_00012,MALE,32
subscribers_00013,MALE,28
subscribers_00014,MALE,56
subscribers_00015,FEMALE,51
subscribers_00016,MALE,33
subscribers_00017,MALE,63
subscribers_00018,MALE,44
subscribers_00019,FEMALE,25
subscribers_00020,FEMALE,35
subscribers_00021,FEMALE,44
subscribers_00022,MALE,16
subscribers_00023,FEMALE,35
subscribers_00024,MALE,28
subscribers_00025,MALE,44
subscribers_00026,FEMALE,20
subscribers_00027,FEMALE,32
subscribers_00028,MALE,56
subscribers_00029,MALE,45
subscribers_00030,MALE,83
subscribers_00031,MALE,24
subscribers_00032,FEMALE,73
subscribers_00033,FEMALE,37
subscribers_00034,MALE,35
subscribers_00035,MALE,74
subscribers_00036,FEMALE,51
subscribers_00037,FEMALE,75
subscribers_00038,FEMALE,54
subscribers_00039,FEMALE,45
subscribers_00040,FEMALE,40
subscribers_00041,MALE,18
subscribers_00042,MALE,73
subscribers_00043,FEMALE,25
subscribers_00044,FEMALE,28
subscribers_00045,MALE,78
subscribers_00046,FEMALE,28
subscribers_00047,MALE,52
subscribers_00048,MALE,73
subscribers_00049,MALE,76
subscribers_00050,MALE,76
subscribers_00051,FEMALE,18
subscribers_00052,MALE,35
subscribers_00053,FEMALE,41
subscribers_00054,MALE,69
subscribers_00055,MALE,68
subscribers_00056,FEMALE,25
subscribers_00057,FEMALE,22
subscribers_00058,FEMALE,70
subscribers_00059,MALE,45
subscribers_00060,MALE,84
subscribers_00061,FEMALE,63
subscribers_00062,MALE,69
subscribers_00063,FEMALE,28
subscribers_00064,MALE,69
subscribers_00065,MALE,46
subscribers_00066,FEMALE,66
subscribers_00067,FEMALE,84
subscribers_00068,MALE,56
subscribers_00069,MALE,16
subscribers_00070,FEMALE,37
subscribers_00071,FEMALE,42
subscribers_00072,FEMALE,33
subscribers_00073,FEMALE,21
subscribers_00074,FEMALE,24
subscribers_00075,MALE,49
subscribers_00076,FEMALE,23
subscribers_00077,FEMALE,47
subscribers_00078,FEMALE,23
subscribers_00079,FEMALE,83
subscribers_00080,FEMALE,77
subscribers_00081,FEMALE,41
subscribers_00082,MALE,25
subscribers_00083,MALE,28
subscribers_00084,MALE,60
subscribers_00085,MALE,38
subscribers_00086,FEMALE,83
subscribers_00087,MALE,70
subscribers_00088,MALE,82
subscribers_00089,FEMALE,63
subscribers_00090,MALE,28
subscribers_00091,MALE,64
subscribers_00092,MALE,61
subscribers_00093,MALE,22
subscribers_00094,MALE,31
subscribers_00095,MALE,70
subscribers_00096,FEMALE,22
subscribers_00097,FEMALE,66
subscribers_00098,MALE,73
subscribers_00099,MALE,17
subscribers_00100,FEMALE,62
subscribers_00101,MALE,31
subscribers_00102,FEMALE,45
subscribers_00103,FEMALE,16
subscribers_00104,FEMALE,58
subscribers_00105,FEMALE,58
subscribers_00106,FEMALE,81
subscribers_00107,MALE,73
subscribers_00108,MALE,57
subscribers_00109,FEMALE,27
subscribers_00110,FEMALE,41
subscribers_00111,FEMALE,58
subscribers_00112,MALE,70
subscribers_00113,FEMALE,30
subscribers_00114,FEMALE,67
subscribers_00115,MALE,81
subscribers_00116,FEMALE,48
subscribers_00117,FEMALE,57
subscribers_00118,FEMALE,40
subscribers_00119,FEMALE,70
subscribers_00120,FEMALE,81
subscribers_00121,MALE,75
subscribers_00122,FEMALE,44
subscribers_00123,MALE,34
subscribers_00124,FEMALE,17
subscribers_00125,MALE,41
subscribers_00126,FEMALE,42
subscribers_00127,MALE,56
subscribers_00128,MALE,26
subscribers_00129,MALE,81
subscribers_00130,MALE,83
subscribers_00131,MALE,33
subscribers_00132,FEMALE,66
subscribers_00133,MALE,22
subscribers_00134,MALE,30
subscribers_00135,FEMALE,32
subscribers_00136,MALE,19
subscribers_00137,MALE,27
subscribers_00138,MALE,36
subscribers_00139,FEMALE,16
subscribers_00140,MALE,81
subscribers_00141,MALE,24
subscribers_00142,FEMALE,48
subscribers_00143,MALE,62
subscribers_00144,FEMALE,24
subscribers_00145,FEMALE,19
subscribers_00146,MALE,19
subscribers_00147,FEMALE,39
subscribers_00148,FEMALE,20
subscribers_00149,FEMALE,37
subscribers_00150,MALE,25
subscribers_00151,FEMALE,62
subscribers_00152,MALE,25
subscribers_00153,FEMALE,45
subscribers_00154,MALE,60
subscribers_00155,MALE,42
subscribers_00156,FEMALE,53
subscribers_00157,MALE,67
subscribers_00158,FEMALE,41
subscribers_00159,FEMALE,81
subscribers_00160,FEMALE,65
subscribers_00161,MALE,30
subscribers_00162,MALE,42
subscribers_00163,MALE,52
subscribers_00164,MALE,79
subscribers_00165,MALE,30
subscribers_00166,MALE,27
subscribers_00167,MALE,73
subscribers_00168,MALE,82
subscribers_00169,FEMALE,38
subscribers_00170,MALE,51
subscribers_00171,MALE,60
subscribers_00172,FEMALE,59
subscribers_00173,MALE,48
subscribers_00174,MALE,30
subscribers_00175,MALE,63
subscribers_00176,FEMALE,17
subscribers_00177,MALE,30
subscribers_00178,FEMALE,69
subscribers_00179,FEMALE,45
subscribers_00180,FEMALE,20
subscribers_00181,FEMALE,74
subscribers_00182,FEMALE,37
subscribers_00183,MALE,37
subscribers_00184,MALE,30
subscribers_00185,FEMALE,77
subscribers_00186,MALE,53
subscribers_00187,FEMALE,60
subscribers_00188,MALE,26
subscribers_00189,FEMALE,37
subscribers_00190,MALE,26
subscribers_00191,FEMALE,17
subscribers_00192,MALE,49
subscribers_00193,FEMALE,58
subscribers_00194,MALE,20
subscribers_00195,MALE,44
subscribers_00196,FEMALE,47
subscribers_00197,MALE,56
subscribers_00198,FEMALE,61
subscribers_00199,FEMALE,31
subscribers_00200,MALE,76
subscribers_00201,MALE,54
subscribers_00202,FEMALE,41
subscribers_00203,FEMALE,33
subscribers_00204,FEMALE,29
subscribers_00205,MALE,35
subscribers_00206,FEMALE,64
subscribers_00207,FEMALE,84
subscribers_00208,FEMALE,18
subscribers_00209,FEMALE,72
subscribers_00210,MALE,36
subscribers_00211,MALE,21
subscribers_00212,MALE,35
subscribers_00213,MALE,48
subscribers_00214,FEMALE,23
subscribers_00215,MALE,66
subscribers_00216,FEMALE,78
subscribers_00217,FEMALE,43
subscribers_00218,FEMALE,66
subscribers_00219,MALE,16
subscribers_00220,FEMALE,57
subscribers_00221,MALE,20
subscribers_00222,MALE,48
subscribers_00223,MALE,24
subscribers_00224,FEMALE,59
subscribers_00225,MALE,46
subscribers_00226,FEMALE,53
subscribers_00227,MALE,53
subscribers_00228,FEMALE,80
subscribers_00229,FEMALE,35
subscribers_00230,MALE,57
subscribers_00231,MALE,26
subscribers_00232,FEMALE,27
subscribers_00233,MALE,73
subscribers_00234,MALE,76
subscribers_00235,MALE,45
subscribers_00236,MALE,26
subscribers_00237,MALE,25
subscribers_00238,FEMALE,48
subscribers_00239,MALE,60
subscribers_00240,FEMALE,24
subscribers_00241,MALE,26
subscribers_00242,FEMALE,35
subscribers_00243,FEMALE,65
subscribers_00244,FEMALE,67
subscribers_00245,FEMALE,51
subscribers_00246,MALE,65
subscribers_00247,MALE,73
subscribers_00248,FEMALE,79
subscribers_00249,FEMALE,40
subscribers_00250,FEMALE,63
subscribers_00251,FEMALE,47
subscribers_00252,MALE,46
subscribers_00253,FEMALE,33
subscribers_00254,MALE,70
subscribers_00255,MALE,47
subscribers_00256,MALE,62
subscribers_00257,FEMALE,64
subscribers_00258,MALE,41
subscribers_00259,MALE,81
subscribers_00260,MALE,53
subscribers_00261,FEMALE,81
subscribers_00262,FEMALE,80
subscribers_00263,FEMALE,59
subscribers_00264,MALE,30
subscribers_00265,MALE,52
subscribers_00266,MALE,23
subscribers_00267,MALE,45
subscribers_00268,FEMALE,37
subscribers_00269,MALE,35
subscribers_00270,FEMALE,81
subscribers_00271,MALE,71
subscribers_00272,FEMALE,21
subscribers_00273,MALE,41
subscribers_00274,FEMALE,38
subscribers_00275,MALE,47
subscribers_00276,FEMALE,69
subscribers_00277,MALE,44
