msisdn,datetime,cell_id,latitude,longitude,data_type,service
subscribers_00000,9/22/2025 6:05,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025 6:08,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025 6:10,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025 8:57,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/22/2025 11:34,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/22/2025 15:15,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/22/2025 15:57,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/22/2025 16:55,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/22/2025 19:04,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025 19:45,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025  27:48:00 PM,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/22/2025 21:34,18337,-10.2714,16.8347,CDR,2G
subscribers_00000,9/23/2025 1:10,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/23/2025 6:44,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/23/2025 9:07,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 10:43,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 10:46,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 12:27,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 12:33,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 12:58,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 13:01,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 13:37,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 15:01,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 17:05,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 18:10,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 19:42,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/23/2025 21:06,18337,-1.2714,36.8347,CDR,2G
