cell_id	zone_classification
86	URBAN
71	URBAN
18	RURAL
59	RURAL
100	RURAL
37	RURAL
63	RURAL
21	RURAL
90	URBAN
11	URBAN
56	RURAL
72	URBAN
61	URBAN
30	RURAL
28	RURAL
78	RURAL
40	RURAL
62	URBAN
70	RURAL
5	RURAL
88	URBAN
7	URBAN
60	RURAL
69	URBAN
17	URBAN
38	URBAN
80	URBAN
29	URBAN
82	URBAN
8	RURAL
47	RURAL
54	RURAL
64	URBAN
19	RURAL
14	URBAN
9	RURAL
95	RURAL
2	URBAN
89	RURAL
58	URBAN
92	URBAN
53	RURAL
22	URBAN
75	RURAL
93	RURAL
76	RURAL
79	URBAN
87	URBAN
4	URBAN
50	RURAL
52	URBAN
48	URBAN
51	URBAN
23	URBAN
91	RURAL
98	RURAL
42	RURAL
65	RURAL
49	RURAL
85	RURAL
1	URBAN
34	RURAL
32	RURAL
67	RURAL
15	URBAN
35	URBAN
6	URBAN
45	RURAL
46	RURAL
27	RURAL
33	RURAL
94	RURAL
25	URBAN
55	RURAL
24	URBAN
74	RURAL
3	RURAL
20	URBAN
41	URBAN
68	URBAN
44	URBAN
97	URBAN
36	RURAL
81	RURAL
12	RURAL
66	URBAN
39	RURAL
73	URBAN
31	URBAN
10	RURAL
77	RURAL
13	URBAN
99	RURAL
96	URBAN
83	URBAN
16	URBAN
84	RURAL
43	RURAL
57	RURAL
26	RURAL
