cell_id,zone_classification
2,RURAL
4,URBAN
6,RURAL
9,RURAL
10,URBAN
12,RURAL
14,RURAL
16,URBAN
17,RURAL
21,URBAN
28,RURAL
39,URBAN
41,URBAN
46,URBAN
47,RURAL
49,URBAN
57,URBAN
59,URBAN
60,RURAL
63,URBAN
64,RURAL
67,URBAN
69,RURAL
71,URBAN
74,RURAL
76,URBAN
78,URBAN
81,URBAN
82,URBAN
84,URBAN
89,URBAN
94,URBAN
96,URBAN
103,RURAL
105,RURAL
107,URBAN
108,URBAN
109,RURAL
116,URBAN
122,RURAL
125,URBAN
128,RURAL
129,RURAL
131,URBAN
136,RURAL
137,RURAL
139,RURAL
140,URBAN
142,URBAN
143,URBAN
145,RURAL
150,URBAN
151,URBAN
152,URBAN
155,RURAL
157,RURAL
159,URBAN
168,URBAN
187,RURAL
188,URBAN
191,URBAN
196,URBAN
198,RURAL
199,URBAN
202,URBAN
205,RURAL
206,URBAN
210,URBAN
215,URBAN
219,RURAL
222,URBAN
224,URBAN
226,URBAN
235,URBAN
237,RURAL
238,RURAL
241,RURAL
248,RURAL
249,URBAN
250,RURAL
251,RURAL
253,RURAL
254,URBAN
255,RURAL
263,URBAN
271,URBAN
273,URBAN
274,RURAL
275,URBAN
279,RURAL
284,RURAL
285,URBAN
286,URBAN
290,RURAL
295,RURAL
296,URBAN
297,URBAN
300,URBAN
305,URBAN
306,URBAN
309,URBAN
310,URBAN
312,RURAL
319,URBAN
323,RURAL
324,RURAL
329,URBAN
333,RURAL
335,URBAN
345,RURAL
346,URBAN
350,URBAN
351,RURAL
353,URBAN
354,URBAN
355,URBAN
356,URBAN
357,URBAN
358,URBAN
362,URBAN
370,URBAN
371,URBAN
380,URBAN
382,URBAN
384,URBAN
386,RURAL
389,RURAL
393,RURAL
394,RURAL
397,URBAN
403,RURAL
404,URBAN
406,URBAN
408,URBAN
410,URBAN
411,URBAN
416,URBAN
417,URBAN
420,RURAL
422,URBAN
423,URBAN
426,URBAN
429,RURAL
430,URBAN
436,URBAN
437,URBAN
439,RURAL
441,RURAL
444,RURAL
446,URBAN
447,URBAN
456,URBAN
457,URBAN
458,URBAN
460,URBAN
461,URBAN
465,URBAN
468,RURAL
469,URBAN
472,URBAN
477,URBAN
480,RURAL
486,RURAL
490,URBAN
493,URBAN
498,URBAN
500,URBAN
508,RURAL
512,URBAN
516,URBAN
517,URBAN
518,URBAN
522,URBAN
523,URBAN
525,URBAN
528,URBAN
532,URBAN
535,URBAN
557,RURAL
558,URBAN
560,URBAN
561,URBAN
562,URBAN
563,URBAN
565,URBAN
566,URBAN
567,URBAN
571,URBAN
573,RURAL
583,RURAL
587,RURAL
588,URBAN
592,RURAL
597,URBAN
599,RURAL
600,URBAN
601,RURAL
602,RURAL
603,RURAL
604,RURAL
607,RURAL
611,URBAN
618,RURAL
619,URBAN
620,RURAL
621,RURAL
622,RURAL
625,RURAL
628,RURAL
631,RURAL
632,URBAN
635,URBAN
638,URBAN
640,URBAN
641,RURAL
646,URBAN
649,URBAN
650,URBAN
658,URBAN
659,RURAL
660,URBAN
661,URBAN
665,URBAN
666,RURAL
668,URBAN
669,URBAN
672,URBAN
673,RURAL
677,RURAL
683,URBAN
685,URBAN
686,URBAN
688,URBAN
696,URBAN
701,RURAL
703,RURAL
704,URBAN
708,RURAL
711,URBAN
712,RURAL
713,RURAL
715,URBAN
717,URBAN
720,URBAN
722,URBAN
726,RURAL
729,RURAL
731,URBAN
736,URBAN
738,RURAL
739,RURAL
740,RURAL
741,RURAL
742,URBAN
744,RURAL
746,RURAL
751,URBAN
754,RURAL
755,RURAL
756,URBAN
763,URBAN
764,URBAN
765,RURAL
768,URBAN
772,RURAL
775,URBAN
777,URBAN
788,RURAL
790,RURAL
794,RURAL
795,RURAL
797,URBAN
800,URBAN
806,URBAN
813,URBAN
821,URBAN
822,URBAN
824,URBAN
825,URBAN
828,URBAN
830,RURAL
831,URBAN
833,URBAN
835,URBAN
836,RURAL
838,URBAN
839,URBAN
843,URBAN
845,URBAN
846,URBAN
853,RURAL
857,URBAN
859,URBAN
861,URBAN
870,RURAL
876,URBAN
878,URBAN
886,URBAN
891,URBAN
892,RURAL
896,URBAN
897,URBAN
901,RURAL
905,URBAN
907,URBAN
908,URBAN
909,URBAN
910,URBAN
912,URBAN
917,URBAN
919,URBAN
939,URBAN
942,RURAL
943,URBAN
949,RURAL
957,URBAN
958,URBAN
959,RURAL
963,RURAL
964,URBAN
967,RURAL
970,URBAN
976,URBAN
982,URBAN
986,URBAN
987,RURAL
988,URBAN
990,URBAN
992,URBAN
993,URBAN
994,RURAL
998,URBAN
999,RURAL
1001,URBAN
1003,URBAN
1006,URBAN
1009,RURAL
1013,URBAN
1014,RURAL
1017,URBAN
1020,URBAN
1021,URBAN
1023,RURAL
1024,URBAN
1026,RURAL
1028,RURAL
1036,RURAL
1037,URBAN
1042,URBAN
1043,URBAN
1047,URBAN
1048,URBAN
1049,URBAN
1050,RURAL
1051,URBAN
1052,URBAN
1053,URBAN
1055,URBAN
1056,RURAL
1057,URBAN
1062,RURAL
1067,URBAN
1068,URBAN
1070,URBAN
1071,URBAN
1073,URBAN
1074,URBAN
1076,URBAN
1078,URBAN
1079,RURAL
1080,URBAN
1083,URBAN
1084,URBAN
1085,URBAN
1087,RURAL
1090,RURAL
1104,RURAL
1106,URBAN
1108,URBAN
1110,RURAL
1111,RURAL
1114,URBAN
1117,URBAN
1124,RURAL
1125,RURAL
1126,RURAL
1129,RURAL
1136,RURAL
1138,URBAN
1142,URBAN
1143,URBAN
1148,URBAN
1149,RURAL
1152,URBAN
1155,RURAL
1157,RURAL
1159,RURAL
1160,RURAL
1162,URBAN
1163,URBAN
1168,URBAN
1169,RURAL
1172,RURAL
1173,RURAL
1174,URBAN
1176,URBAN
1178,URBAN
1180,RURAL
1182,RURAL
1185,URBAN
1188,RURAL
1189,RURAL
1190,URBAN
1194,URBAN
1195,URBAN
1196,URBAN
1200,URBAN
1201,RURAL
1209,RURAL
1212,RURAL
1215,URBAN
1219,RURAL
1224,RURAL
1228,RURAL
1231,URBAN
1234,URBAN
1241,URBAN
1243,RURAL
1245,URBAN
1246,URBAN
1248,URBAN
1249,URBAN
1253,RURAL
1256,URBAN
1257,URBAN
1258,URBAN
1261,URBAN
1262,URBAN
1264,RURAL
1267,URBAN
1269,RURAL
1272,URBAN
1273,RURAL
1276,URBAN
1277,URBAN
1280,RURAL
1281,RURAL
1282,RURAL
1283,URBAN
1285,URBAN
1286,URBAN
1292,URBAN
1296,URBAN
1301,URBAN
1302,RURAL
1304,URBAN
1305,RURAL
1310,RURAL
1312,RURAL
1313,URBAN
1314,URBAN
1315,RURAL
1318,URBAN
1320,RURAL
1322,URBAN
1324,RURAL
1328,RURAL
1329,URBAN
1330,URBAN
1331,URBAN
1334,URBAN
1338,URBAN
1342,URBAN
1343,RURAL
1348,RURAL
1353,RURAL
1355,RURAL
1357,URBAN
1360,URBAN
1361,URBAN
1362,URBAN
1366,URBAN
1367,URBAN
1368,RURAL
1369,RURAL
1370,URBAN
1375,URBAN
1376,URBAN
1377,URBAN
1380,URBAN
1383,RURAL
1385,RURAL
1399,URBAN
1400,URBAN
1404,URBAN
1405,URBAN
1407,URBAN
1408,URBAN
1409,RURAL
1411,URBAN
1412,URBAN
1413,URBAN
1418,URBAN
1420,URBAN
1421,URBAN
1422,RURAL
1423,URBAN
1424,URBAN
1429,URBAN
1431,URBAN
1432,URBAN
1433,URBAN
1434,URBAN
1436,URBAN
1438,URBAN
1440,RURAL
1444,URBAN
1446,RURAL
1447,URBAN
1452,URBAN
1453,URBAN
1454,URBAN
1455,RURAL
1459,RURAL
1460,RURAL
1462,URBAN
1464,URBAN
1465,RURAL
1466,RURAL
1467,URBAN
1470,RURAL
1472,URBAN
1476,URBAN
1477,URBAN
1478,URBAN
1479,URBAN
1480,RURAL
1484,RURAL
1486,URBAN
1488,RURAL
1489,URBAN
1490,URBAN
1492,RURAL
1494,URBAN
1496,URBAN
1499,RURAL
1503,RURAL
1504,RURAL
1507,URBAN
1508,RURAL
1509,RURAL
1512,URBAN
1513,RURAL
1514,URBAN
1515,URBAN
1517,URBAN
1518,URBAN
1524,URBAN
1525,URBAN
1530,RURAL
1531,URBAN
1532,URBAN
1535,URBAN
1538,URBAN
1540,URBAN
1541,URBAN
1543,URBAN
1545,URBAN
1551,RURAL
1552,URBAN
1553,URBAN
1554,URBAN
1559,URBAN
1560,URBAN
1562,URBAN
1563,URBAN
1564,URBAN
1566,URBAN
1575,RURAL
1579,URBAN
1584,URBAN
1586,RURAL
1590,RURAL
1592,URBAN
1593,RURAL
1594,RURAL
1597,RURAL
1599,URBAN
1607,URBAN
1608,URBAN
1609,RURAL
1611,RURAL
1614,RURAL
1617,RURAL
1628,RURAL
1629,RURAL
1632,URBAN
1633,URBAN
1636,URBAN
1638,RURAL
1640,RURAL
