msisdn,age,gender
subscribers_00000,95,female
subscribers_00001,30,male
subscribers_00002,59,male
subscribers_00003,44,female
subscribers_00004,33,male
subscribers_00005,30,female
subscribers_00006,54,female
subscribers_00007,46,female
subscribers_00008,39,female
subscribers_00009,20,female
subscribers_00010,65,female
subscribers_00011,29,female
subscribers_00012,22,female
subscribers_00013,17,male
subscribers_00014,74,male
subscribers_00015,38,female
subscribers_00016,20,female
subscribers_00017,22,male
subscribers_00018,62,male
subscribers_00019,30,male
subscribers_00020,28,female
subscribers_00021,58,male
subscribers_00022,34,male
subscribers_00023,59,male
subscribers_00024,25,male
subscribers_00025,60,female
subscribers_00026,22,female
subscribers_00027,22,male
subscribers_00028,72,male
subscribers_00029,72,female
subscribers_00030,41,male
subscribers_00031,65,male
subscribers_00032,22,male
subscribers_00033,38,female
subscribers_00034,54,male
subscribers_00035,42,male
subscribers_00036,61,male
subscribers_00037,64,male
subscribers_00038,75,female
subscribers_00039,64,female
subscribers_00040,35,female
subscribers_00041,25,male
subscribers_00042,66,male
subscribers_00043,52,male
subscribers_00044,53,female
subscribers_00045,54,female
subscribers_00046,30,male
subscribers_00047,94,female
subscribers_00048,36,male
subscribers_00049,84,female
subscribers_00050,19,male
subscribers_00051,57,male
subscribers_00052,62,male
subscribers_00053,54,female
subscribers_00054,58,female
subscribers_00055,64,male
subscribers_00056,68,female
subscribers_00057,36,male
subscribers_00058,33,female
subscribers_00059,33,male
subscribers_00060,21,female
subscribers_00061,29,male
subscribers_00062,59,female
subscribers_00063,21,female
subscribers_00064,39,female
subscribers_00065,62,male
subscribers_00066,29,male
subscribers_00067,33,male
subscribers_00068,40,male
subscribers_00069,61,female
subscribers_00070,24,female
subscribers_00071,18,male
subscribers_00072,22,male
subscribers_00073,53,male
subscribers_00074,71,male
subscribers_00075,43,male
subscribers_00076,68,male
subscribers_00077,34,female
subscribers_00078,16,male
subscribers_00079,51,female
subscribers_00080,64,male
subscribers_00081,61,female
subscribers_00082,49,male
subscribers_00083,74,female
subscribers_00084,29,female
subscribers_00085,69,male
subscribers_00086,34,female
subscribers_00087,38,female
subscribers_00088,30,male
subscribers_00089,26,female
subscribers_00090,21,male
subscribers_00091,36,female
subscribers_00092,44,female
subscribers_00093,26,male
subscribers_00094,89,female
subscribers_00095,50,male
subscribers_00096,46,male
subscribers_00097,59,male
subscribers_00098,25,female
subscribers_00099,16,male
subscribers_00100,17,male
subscribers_00101,22,female
subscribers_00102,69,male
subscribers_00103,45,female
subscribers_00104,37,female
subscribers_00105,25,male
subscribers_00106,64,male
subscribers_00107,64,male
subscribers_00108,40,female
subscribers_00109,29,female
subscribers_00110,27,female
subscribers_00111,20,female
subscribers_00112,55,female
subscribers_00113,63,female
subscribers_00114,45,female
subscribers_00115,47,male
subscribers_00116,58,male
subscribers_00117,40,male
subscribers_00118,49,female
subscribers_00119,20,male
subscribers_00120,55,male
subscribers_00121,26,female
subscribers_00122,30,female
subscribers_00123,62,male
subscribers_00124,69,female
subscribers_00125,34,male
subscribers_00126,22,female
subscribers_00127,34,female
subscribers_00128,30,female
subscribers_00129,45,male
subscribers_00130,55,male
subscribers_00131,15,male
subscribers_00132,17,male
subscribers_00133,52,male
subscribers_00134,29,male
subscribers_00135,33,male
subscribers_00136,25,male
subscribers_00137,69,female
subscribers_00138,35,female
subscribers_00139,60,male
subscribers_00140,30,male
subscribers_00141,20,female
subscribers_00142,52,male
subscribers_00143,55,female
subscribers_00144,36,male
subscribers_00145,17,male
subscribers_00146,47,female
subscribers_00147,73,male
subscribers_00148,70,female
subscribers_00149,22,female
subscribers_00150,65,female
subscribers_00151,57,male
subscribers_00152,53,male
subscribers_00153,61,female
subscribers_00154,22,female
subscribers_00155,17,male
subscribers_00156,32,female
subscribers_00157,40,female
subscribers_00158,38,female
subscribers_00159,63,male
subscribers_00160,16,male
subscribers_00161,44,male
subscribers_00162,30,male
subscribers_00163,28,female
subscribers_00164,58,male
subscribers_00165,71,female
subscribers_00166,38,male
subscribers_00167,69,male
subscribers_00168,24,male
subscribers_00169,60,male
subscribers_00170,23,male
subscribers_00171,50,male
subscribers_00172,15,male
subscribers_00173,16,male
subscribers_00174,53,male
subscribers_00175,34,male
subscribers_00176,23,female
subscribers_00177,32,female
subscribers_00178,51,male
subscribers_00179,15,female
subscribers_00180,35,female
subscribers_00181,36,male
subscribers_00182,46,female
subscribers_00183,44,female
subscribers_00184,32,female
subscribers_00185,20,male
subscribers_00186,47,male
subscribers_00187,74,male
subscribers_00188,53,female
subscribers_00189,68,male
subscribers_00190,40,male
subscribers_00191,23,male
subscribers_00192,16,female
subscribers_00193,62,female
subscribers_00194,55,female
subscribers_00195,17,female
subscribers_00196,46,female
subscribers_00197,19,female
subscribers_00198,28,male
subscribers_00199,26,male
subscribers_00200,17,male
subscribers_00201,17,male
subscribers_00202,34,female
subscribers_00203,30,female
subscribers_00204,36,male
subscribers_00205,78,male
subscribers_00206,41,male
subscribers_00207,54,male
subscribers_00208,31,female
subscribers_00209,27,male
subscribers_00210,52,male
subscribers_00211,37,female
subscribers_00212,23,female
subscribers_00213,48,female
subscribers_00214,52,female
subscribers_00215,30,female
subscribers_00216,17,female
subscribers_00217,51,female
subscribers_00218,34,female
subscribers_00219,39,female
subscribers_00220,38,male
subscribers_00221,43,male
subscribers_00222,37,female
subscribers_00223,22,male
subscribers_00224,16,male
subscribers_00225,55,male
subscribers_00226,47,male
subscribers_00227,92,male
subscribers_00228,28,male
subscribers_00229,57,female
subscribers_00230,39,male
subscribers_00231,29,female
subscribers_00232,39,female
subscribers_00233,67,female
subscribers_00234,20,male
subscribers_00235,30,male
subscribers_00236,60,male
subscribers_00237,41,male
subscribers_00238,37,male
subscribers_00239,39,male
subscribers_00240,15,female
subscribers_00241,22,female
subscribers_00242,24,male
subscribers_00243,66,female
subscribers_00244,27,male
subscribers_00245,17,male
subscribers_00246,65,male
subscribers_00247,26,female
subscribers_00248,18,male
subscribers_00249,51,female
subscribers_00250,33,male
subscribers_00251,34,female
subscribers_00252,38,male
subscribers_00253,17,male
subscribers_00254,60,female
subscribers_00255,19,female
subscribers_00256,48,male
subscribers_00257,16,female
subscribers_00258,25,male
subscribers_00259,37,male
subscribers_00260,55,male
subscribers_00261,25,female
subscribers_00262,52,male
subscribers_00263,43,female
subscribers_00264,21,female
subscribers_00265,76,female
subscribers_00266,34,female
subscribers_00267,28,female
subscribers_00268,50,male
subscribers_00269,46,male
subscribers_00270,49,male
subscribers_00271,61,female
subscribers_00272,37,male
subscribers_00273,55,male
subscribers_00274,70,female
subscribers_00275,16,female
subscribers_00276,43,male
subscribers_00277,23,male
subscribers_00278,59,male
subscribers_00279,22,female
subscribers_00280,30,male
subscribers_00281,18,male
subscribers_00282,20,male
subscribers_00283,70,male
subscribers_00284,21,female
subscribers_00285,24,female
subscribers_00286,19,female
subscribers_00287,27,female
subscribers_00288,33,male
subscribers_00289,44,male
subscribers_00290,75,male
subscribers_00291,57,female
subscribers_00292,44,male
subscribers_00293,23,male
subscribers_00294,50,male
subscribers_00295,16,female
subscribers_00296,43,female
subscribers_00297,39,male
subscribers_00298,16,male
subscribers_00299,56,female
subscribers_00300,17,female
subscribers_00301,37,male
subscribers_00302,40,male
subscribers_00303,17,male
subscribers_00304,43,female
subscribers_00305,38,male
subscribers_00306,25,male
subscribers_00307,58,male
subscribers_00308,23,female
subscribers_00309,51,male
subscribers_00310,29,male
subscribers_00311,78,male
subscribers_00312,49,male
subscribers_00313,27,male
subscribers_00314,52,male
