cell_id,zone_classification
0,RURAL
1,RURAL
2,RURAL
3,RURAL
4,RURAL
5,URBAN
6,RURAL
7,RURAL
8,URBAN
9,URBAN
10,URBAN
11,RURAL
12,RURAL
13,RURAL
14,RURAL
15,RURAL
16,RURAL
17,RURAL
18,RURAL
19,RURAL
20,RURAL
21,RURAL
22,URBAN
23,URBAN
24,RURAL
25,URBAN
26,URBAN
27,RURAL
28,RURAL
29,RURAL
30,RURAL
31,RURAL
32,RURAL
33,RURAL
34,RURAL
35,RURAL
36,RURAL
37,RURAL
38,RURAL
39,RURAL
40,RURAL
41,RURAL
42,RURAL
43,RURAL
44,RURAL
45,RURAL
46,RURAL
47,RURAL
48,RURAL
49,RURAL
50,RURAL
51,RURAL
52,RURAL
53,RURAL
54,RURAL
55,URBAN
56,URBAN
57,URBAN
58,URBAN
59,URBAN
60,RURAL
61,URBAN
62,URBAN
63,RURAL
64,RURAL
65,URBAN
66,RURAL
67,RURAL
68,RURAL
69,URBAN
70,URBAN
71,RURAL
72,URBAN
73,URBAN
74,RURAL
75,RURAL
76,RURAL
77,RURAL
78,RURAL
79,RURAL
80,RURAL
81,RURAL
82,RURAL
83,RURAL
84,RURAL
85,URBAN
86,RURAL
87,RURAL
88,RURAL
89,RURAL
90,RURAL
91,RURAL
92,RURAL
93,RURAL
94,RURAL
95,RURAL
96,RURAL
97,RURAL
98,RURAL
99,RURAL
100,RURAL
101,RURAL
102,RURAL
103,RURAL
104,RURAL
105,RURAL
106,RURAL
107,RURAL
108,RURAL
109,RURAL
110,RURAL
111,RURAL
112,RURAL
113,RURAL
114,RURAL
115,RURAL
116,RURAL
117,RURAL
118,RURAL
119,RURAL
120,RURAL
121,RURAL
122,RURAL
123,RURAL
124,RURAL
125,RURAL
126,RURAL
127,RURAL
128,RURAL
129,RURAL
130,RURAL
131,RURAL
132,RURAL
133,RURAL
134,RURAL
135,RURAL
136,RURAL
137,RURAL
138,RURAL
139,RURAL
140,RURAL
141,URBAN
142,RURAL
143,RURAL
144,RURAL
145,RURAL
146,RURAL
147,RURAL
148,RURAL
149,RURAL
150,RURAL
151,RURAL
152,RURAL
153,RURAL
154,RURAL
155,RURAL
156,RURAL
157,RURAL
158,RURAL
159,RURAL
160,RURAL
161,RURAL
162,RURAL
163,RURAL
164,RURAL
165,RURAL
166,URBAN
167,RURAL
168,RURAL
169,RURAL
170,RURAL
171,URBAN
172,RURAL
173,RURAL
174,RURAL
175,RURAL
176,URBAN
177,RURAL
178,RURAL
179,URBAN
180,RURAL
181,RURAL
182,URBAN
183,RURAL
184,RURAL
185,URBAN
186,URBAN
187,URBAN
188,RURAL
189,RURAL
190,URBAN
191,RURAL
192,RURAL
193,RURAL
194,RURAL
195,RURAL
196,RURAL
197,RURAL
198,RURAL
199,RURAL
200,RURAL
201,RURAL
202,RURAL
203,RURAL
204,RURAL
205,RURAL
206,RURAL
207,RURAL
208,RURAL
209,RURAL
210,RURAL
211,RURAL
212,RURAL
213,RURAL
214,RURAL
215,RURAL
216,RURAL
217,RURAL
218,RURAL
219,RURAL
220,RURAL
221,RURAL
222,RURAL
223,RURAL
224,RURAL
225,RURAL
226,RURAL
227,RURAL
228,URBAN
229,RURAL
230,URBAN
231,RURAL
232,RURAL
233,RURAL
234,RURAL
235,RURAL
236,RURAL
237,RURAL
238,RURAL
239,RURAL
240,RURAL
241,RURAL
242,URBAN
243,RURAL
244,URBAN
245,URBAN
246,RURAL
247,URBAN
248,URBAN
249,RURAL
250,RURAL
251,RURAL
252,RURAL
253,RURAL
254,RURAL
255,RURAL
256,RURAL
257,RURAL
258,RURAL
259,RURAL
260,RURAL
261,RURAL
262,RURAL
263,RURAL
264,RURAL
265,RURAL
266,RURAL
267,RURAL
268,RURAL
269,RURAL
270,RURAL
271,RURAL
272,RURAL
273,RURAL
274,RURAL
275,RURAL
276,RURAL
